episode_number,pitch_number,brand_name,idea,Mega_Big_Category_idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark,ROI,ask_bin,equity_per_shark,Valuation,Valuation_category
4,11,JhaJi Achaar,Pickle,Food & Agriculture,FALSE,50,10,500,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
4,12,Bummer,Underwear,Consumer Products & Lifestyle,TRUE,75,4,1875,75,7.5,1000,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,37.5,3.75,1000,51-100,3.75,1000,Moderate Valuation
5,13,Revamp Moto,E-Bike,Mobility & Automotive,TRUE,100,1,10000,100,1.5,6667,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,50,0.75,6666.666667,51-100,0.75,6666.666667,Premium Valuation
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,Food & Agriculture,FALSE,50,5,1000,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
5,15,Shrawani Engineers,Belly Button Shaper,Health & Wellness,FALSE,10,20,50,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
6,16,Skippi Pops,Ice-Pops,Food & Agriculture,TRUE,45,5,900,100,15,667,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5,20,3,666.6666667,0-50,3,666.6666667,Moderate Valuation
6,17,Menstrupedia,Menstrual Awareness Comic,Social Impact & Sustainability,TRUE,50,10,500,50,20,250,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,50,20,250,0-50,20,250,Low Valuation
6,18,Hecolll,Pollution Resistant Fabric,Industrial & Infrastructure,FALSE,100,1,10000,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
7,19,Raising Superstars,Child Development App,Technology & SaaS,TRUE,100,2,5000,100,4,2500,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,50,2,2500,51-100,2,2500,High Valuation
7,20,Torch-it,Gadgets for visually impaired people,Social Impact & Sustainability,FALSE,75,1,7500,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
7,21,La Kheer Deli,Kheer in variety of flavors,Food & Agriculture,FALSE,50,7.5,667,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
8,22,Beyond Snack,Kerala Banana Chips,Food & Agriculture,TRUE,50,2.5,2000,50,2.5,2000,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,25,1.25,2000,0-50,1.25,2000,High Valuation
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,Health & Wellness,TRUE,56,7.5,747,56,33.3,168,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,28,16.65,168.1681682,51-100,16.65,168.1681682,Low Valuation
8,24,Motion Breeze,Smart Electric Motorcycle,Mobility & Automotive,TRUE,30,3,1000,30,6,500,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,30,6,500,0-50,6,500,Low Valuation
9,25,Altor,Smart Helmets,Mobility & Automotive,TRUE,50,5,1000,50,7,714,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,25,3.5,714.2857143,0-50,3.5,714.2857143,Moderate Valuation
9,26,Ariro,Wooden Toys,Consumer Products & Lifestyle,TRUE,50,2.5,2000,50,10,500,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,25,5,500,0-50,5,500,Low Valuation
9,27,Kabira Handmade,Healthy Oils,Food & Agriculture,FALSE,100,5,2000,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
10,28,Nuutjob,Male Intimate Hygiene,Health & Wellness,TRUE,25,5,500,25,20,125,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,8.333333333,6.666666667,125,0-50,6.666666667,125,Very Low Valuation
10,29,Meatyour,Eggs,Food & Agriculture,TRUE,30,5,600,30,20,150,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,10,6.666666667,150,0-50,6.666666667,150,Very Low Valuation
10,30,EventBeep,Student Community App,Technology & SaaS,TRUE,30,2,1500,30,3,1000,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,10,1,1000,0-50,1,1000,Moderate Valuation
11,31,Gopal's 56,Fiber Ice Cream,Food & Agriculture,FALSE,30000,25,120000,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,0,0,Very Low Valuation
11,32,ARRCOAT Surface Textures,Wall Building,Industrial & Infrastructure,TRUE,50,5,1000,50,15,333,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,50,15,333.3333333,0-50,15,333.3333333,Low Valuation
11,33,Farda,Customised Streetwear,Consumer Products & Lifestyle,TRUE,30,10,300,30,20,150,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,15,10,150,0-50,10,150,Very Low Valuation
12,34,Auli Lifestyle,Ayurvedic Products,Health & Wellness,TRUE,75,4,1875,75,15,500,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,75,15,500,51-100,15,500,Low Valuation
12,35,SweeDesi,Indian Sweets,Food & Agriculture,FALSE,40,3,1333,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
12,36,LOKA,Metaverse App,Technology & SaaS,TRUE,40,5,800,40,24,167,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,13.33333333,8,166.6666667,0-50,8,166.6666666,Low Valuation
13,37,Annie,Braille Literary Device,Social Impact & Sustainability,TRUE,30,5,600,105,3,3500,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,35,1,3500,0-50,1,3500,Premium Valuation
13,38,Caragreen,Eco-Friendly boxes,Social Impact & Sustainability,TRUE,50,10,500,50,20,250,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,25,10,250,0-50,10,250,Low Valuation
13,39,The Yarn Bazaar,Yarn-Trading App,Technology & SaaS,TRUE,50,2,2500,100,10,1000,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,25,2.5,1000,0-50,2.5,1000,Moderate Valuation
