episode_number,pitch_number,brand_name,idea,Mega_Big_Category_idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark,ROI,ask_bin,equity_per_shark,Valuation,Valuation_category
28,89,Humpy A2,Organic Milk Products,Food & Agriculture,TRUE,75,4,1875,100,15,667,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,33.33333333,5,666.6666667,51-100,5,666.6666666,Moderate Valuation
28,90,Kunafa World,Kunafa,Food & Agriculture,FALSE,90,5,1800,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,Social Impact & Sustainability,TRUE,50,5,1000,50,30,167,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,16.66666667,10,166.6666667,0-50,10,166.6666667,Low Valuation
29,92,Wakao Foods,Jackfruit Products,Food & Agriculture,TRUE,75,5,1500,75,21,357,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,3,25,7,357.1428571,51-100,7,357.1428571,Low Valuation
29,93,PDD Falcon,Stainless Steel Items,Industrial & Infrastructure,FALSE,75,3,2500,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
29,94,PlayBox TV,Streaming Platform,Technology & SaaS,FALSE,100,3.5,2857,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
30,95,Sippline Drinking Shields,Portable Glass Attachment,Technology & SaaS,FALSE,75,15,500,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
30,96,Kabaddi Adda,All-Kabaddi App,Technology & SaaS,TRUE,80,1,8000,80,6,1333,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,40,3,1333.333333,51-100,3,1333.333333,Moderate Valuation
30,97,Shades of Spring,Flowers,Food & Agriculture,FALSE,300,1,30000,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,201-500,0,0,Very Low Valuation
30,98,Scholify,Scholarship Platform,Technology & SaaS,FALSE,50,7.5,667,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
31,99,Scrapshala,Handmade Reusable Scrap Materials,Social Impact & Sustainability,FALSE,50,10,500,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
31,100,Sabjikothi,Vegetables Storage,Industrial & Infrastructure,FALSE,60,2.5,2400,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
31,101,AyuRythm,Ayurvedic Wellness App,Technology & SaaS,TRUE,75,2,3750,75,2.68,2799,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,75,2.68,2798.507463,51-100,2.68,2798.507463,High Valuation
31,102,Astrix,Smart Locks,Technology & SaaS,FALSE,75,3,2500,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
32,103,Thea and Sid,Proposal Solutions,Consumer Products & Lifestyle,FALSE,80,7,1143,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
32,104,Experential Etc,Technology layered Advertisement Services,Technology & SaaS,FALSE,200,4,5000,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,101-200,0,0,Very Low Valuation
32,105,GrowFitter,Rewards App,FinTech,TRUE,50,1,5000,50,2,2500,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,50,2,2500,0-50,2,2500,High Valuation
32,106,Med Tech,Portable opthalmic devices,Health & Wellness,FALSE,35,6,583,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
33,107,Colour Me Mad,Insoles,Health & Wellness,TRUE,40,10,400,40,25,160,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,40,25,160,0-50,25,160,Low Valuation
33,108,Mavi's,Vegan Fermented Food,Food & Agriculture,FALSE,40,5,800,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
33,109,Tweek Labs,Sportswear,Consumer Products & Lifestyle,TRUE,40,2,2000,60,10,600,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,20,3.333333333,600,0-50,3.333333333,600.0000001,Moderate Valuation
33,110,Proxgy,VR,Technology & SaaS,TRUE,35,1,3500,10,10,100,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,5,5,100,0-50,5,100,Very Low Valuation
34,111,Nomad Food Project,Bacon Jams,Food & Agriculture,TRUE,40,10,400,40,20,200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,4,10,5,200,0-50,5,200,Low Valuation
34,112,Twee in One,Reversible and convertible clothing,Consumer Products & Lifestyle,FALSE,30,7.5,400,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
34,113,Green Protein,Plant-Based Protein,Food & Agriculture,FALSE,60,2,3000,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
34,114,On2Cook,Fastest Cooking Device,Industrial & Infrastructure,FALSE,100,1,10000,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
35,115,Jain Shikanji,Lemonade,Food & Agriculture,TRUE,40,8,500,40,30,133,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4,10,7.5,133.3333333,0-50,7.5,133.3333333,Very Low Valuation
35,116,Woloo,Washroom Finder,Technology & SaaS,FALSE,50,4,1250,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
35,117,Elcare India,Carenting for Elders,Health & Wellness,FALSE,100,2.5,4000,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
